UserID, General Type of Interaction, Time, Specific Type of Interaction, Seated or Standing Mode, Stage movement, stage rotation and scaling, session number 
1,navigation,12.94865,gestureNavigation,standing,handles,gesture,2
1,triggerInteraction,15.66191,stage,standing,handles,gesture,2
1,triggerInteraction,17.221,stage,standing,handles,gesture,2
1,triggerInteraction,18.69102,stage,standing,handles,gesture,2
1,triggerInteraction,20.09408,stage,standing,handles,gesture,2
1,triggerInteraction,21.5419,stage,standing,handles,gesture,2
1,navigation,22.09546,touchpadMoveObject,standing,handles,gesture,2
1,triggerInteraction,24.39674,stage,standing,handles,gesture,2
1,triggerInteraction,25.74731,triggerOnObject,standing,handles,gesture,2
1,triggerInteraction,27.95252,nonUniformScaleHandle,standing,handles,gesture,2
1,triggerInteraction,33.45676,triggerOnObject,standing,handles,gesture,2
1,triggerInteraction,34.9478,triggerOnObject,standing,handles,gesture,2
1,triggerInteraction,37.06057,nonUniformScaleHandle,standing,handles,gesture,2
1,triggerInteraction,38.55121,triggerOnObject,standing,handles,gesture,2
1,navigation,38.85718,touchpadMoveObject,standing,handles,gesture,2
1,triggerInteraction,40.23231,triggerNoTarget,standing,handles,gesture,2
1,triggerInteraction,41.24031,nonUniformScaleHandle,standing,handles,gesture,2
1,navigation,43.13645,gestureNavigation,standing,handles,gesture,2
1,triggerInteraction,45.97884,triggerOnObject,standing,handles,gesture,2
