UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
22,triggerInteraction,8.789808,triggerOnObject,alwaysOpen,free,touchpads,1
22,triggerInteraction,9.424887,triggerOnObject,alwaysOpen,free,touchpads,1
22,triggerInteraction,11.18025,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
22,triggerInteraction,15.74181,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
22,triggerInteraction,17.8379,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
22,triggerInteraction,23.21281,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
22,triggerInteraction,32.63224,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
22,triggerInteraction,37.8112,stage,alwaysOpen,free,touchpads,1
22,triggerInteraction,40.10817,stage,alwaysOpen,free,touchpads,1
22,triggerInteraction,40.88226,stage,alwaysOpen,free,touchpads,1
