UserID, General Type of Interaction, Time, Specific Type of Interaction, Seated or Standing Mode, Stage movement, stage rotation and scaling, session number 
3266,triggerInteraction,18.50624,triggerOnObject,seated,free,touchpads,1
3266,triggerInteraction,18.50624,duplicateObject,seated,free,touchpads,1
3266,triggerInteraction,20.95785,triggerOnObject,seated,free,touchpads,1
3266,triggerInteraction,20.95785,duplicateObject,seated,free,touchpads,1
3266,navigation,22.26253,touchpadRotateStage,seated,free,touchpads,1
3266,navigation,22.57082,touchpadRotateStage,seated,free,touchpads,1
3266,navigation,22.8803,touchpadRotateStage,seated,free,touchpads,1
3266,navigation,23.59623,touchpadRotateStage,seated,free,touchpads,1
3266,navigation,23.91707,touchpadRotateStage,seated,free,touchpads,1
3266,triggerInteraction,25.72451,uiElement,seated,free,touchpads,1
3266,triggerInteraction,26.49391,duplicateObjectUI,seated,free,touchpads,1
3266,triggerInteraction,26.49391,duplicateObjectUI,seated,free,touchpads,1
3266,triggerInteraction,26.49391,uiElement,seated,free,touchpads,1
3266,triggerInteraction,27.38441,triggerOnObject,seated,free,touchpads,1
3266,triggerInteraction,28.25669,triggerOnObject,seated,free,touchpads,1
3266,triggerInteraction,29.02881,triggerOnObject,seated,free,touchpads,1
3266,triggerInteraction,29.33813,touchpadMoveObject,seated,free,touchpads,1
3266,triggerInteraction,31.36086,duplicateObjectUI,seated,free,touchpads,1
3266,triggerInteraction,31.36086,duplicateObjectUI,seated,free,touchpads,1
3266,triggerInteraction,31.36086,uiElement,seated,free,touchpads,1
3266,triggerInteraction,32.04617,triggerOnObject,seated,free,touchpads,1
3266,triggerInteraction,33.00267,triggerOnObject,seated,free,touchpads,1
3266,triggerInteraction,33.62164,touchpadMoveObject,seated,free,touchpads,1
3266,triggerInteraction,34.98592,triggerOnObject,seated,free,touchpads,1
3266,triggerInteraction,35.4166,touchpadMoveObject,seated,free,touchpads,1
3266,triggerInteraction,37.79932,touchpadMoveObject,seated,free,touchpads,1
3266,triggerInteraction,38.19424,touchpadMoveObject,seated,free,touchpads,1
3266,triggerInteraction,38.58555,touchpadMoveObject,seated,free,touchpads,1
3266,triggerInteraction,40.71473,triggerOnObject,seated,free,touchpads,1
3266,triggerInteraction,41.78588,deleteObject,seated,free,touchpads,1
3266,triggerInteraction,41.78588,deleteObjectUI,seated,free,touchpads,1
3266,triggerInteraction,41.78588,uiElement,seated,free,touchpads,1
3266,triggerInteraction,42.34364,triggerOnObject,seated,free,touchpads,1
3266,triggerInteraction,43.30456,triggerOnObject,seated,free,touchpads,1
3266,triggerInteraction,44.05599,triggerOnObject,seated,free,touchpads,1
