UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
66,triggerInteraction,16.2377,triggerOnObject,SettingsButton,free,gesture,2
66,triggerInteraction,17.18202,triggerOnObject,SettingsButton,free,gesture,2
66,triggerInteraction,19.87641,nonUniformScaleHandle,SettingsButton,free,gesture,2
66,triggerInteraction,21.3141,triggerOnObject,SettingsButton,free,gesture,2
66,triggerInteraction,22.90947,nonUniformScaleHandle,SettingsButton,free,gesture,2
66,triggerInteraction,29.09493,triggerOnObject,SettingsButton,free,gesture,2
66,triggerInteraction,33.69999,triggerOnObject,SettingsButton,free,gesture,2
66,triggerInteraction,39.24297,triggerOnObject,SettingsButton,free,gesture,2
66,triggerInteraction,45.06739,triggerOnObject,SettingsButton,free,gesture,2
66,touchpad,45.60867,touchpadMoveObject,SettingsButton,free,gesture,2
66,triggerInteraction,49.06873,triggerOnObject,SettingsButton,free,gesture,2
66,triggerInteraction,51.75432,nonUniformScaleHandle,SettingsButton,free,gesture,2
66,triggerInteraction,58.46065,triggerOnObject,SettingsButton,free,gesture,2
