UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
,triggerInteraction,14.17258,triggerOnObject,SettingsButton,free,touchpads,2
,triggerInteraction,27.71596,triggerOnObject,SettingsButton,free,touchpads,2
,touchpad,28.10248,touchpadMoveObject,SettingsButton,free,touchpads,2
,triggerInteraction,31.40018,triggerOnObject,SettingsButton,free,touchpads,2
,triggerInteraction,40.2191,triggerOnObject,SettingsButton,free,touchpads,2
,triggerInteraction,43.52707,stage,SettingsButton,free,touchpads,2
,touchpad,43.91171,touchpadMoveObject,SettingsButton,free,touchpads,2
,triggerInteraction,45.19508,stage,SettingsButton,free,touchpads,2
,triggerInteraction,46.0138,stage,SettingsButton,free,touchpads,2
,triggerInteraction,46.97435,stage,SettingsButton,free,touchpads,2
,touchpad,47.50836,touchpadMoveObject,SettingsButton,free,touchpads,2
,triggerInteraction,51.65235,stage,SettingsButton,free,touchpads,2
,touchpad,52.46271,touchpadMoveObject,SettingsButton,free,touchpads,2
,touchpad,53.24932,touchpadMoveObject,SettingsButton,free,touchpads,2
,touchpad,54.00614,touchpadMoveObject,SettingsButton,free,touchpads,2
,triggerInteraction,56.22354,nonUniformScaleHandle,SettingsButton,free,touchpads,2
,triggerInteraction,57.99755,RotationHandle,SettingsButton,free,touchpads,2
,triggerInteraction,60.59843,nonUniformScaleHandle,SettingsButton,free,touchpads,2
,triggerInteraction,63.8957,nonUniformScaleHandle,SettingsButton,free,touchpads,2
,touchpad,64.2075,touchpadMoveObject,SettingsButton,free,touchpads,2
,touchpad,65.12247,touchpadMoveObject,SettingsButton,free,touchpads,2
,triggerInteraction,67.85333,triggerOnObject,SettingsButton,free,touchpads,2
,triggerInteraction,68.92283,stage,SettingsButton,free,touchpads,2
,triggerInteraction,69.50607,stage,SettingsButton,free,touchpads,2
,triggerInteraction,71.21261,triggerOnObject,SettingsButton,free,touchpads,2
,triggerInteraction,74.47722,triggerOnObject,SettingsButton,free,touchpads,2
