UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
ewtwy,triggerInteraction,9.528252,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,10.2617,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,13.40106,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,navigation,13.90908,touchpadMoveObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,15.51687,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,18.20869,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,navigation,18.59478,touchpadMoveObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,19.85375,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,22.19109,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,24.77892,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,navigation,28.09962,touchpadRotateStage,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,28.65185,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,30.4601,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,37.25466,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,navigation,37.64553,touchpadMoveObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,39.42377,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,53.69999,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,63.50143,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,65.45918,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,66.93784,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,70.47372,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,navigation,72.10881,touchpadRotateStage,alwaysOpen,free,touchpads,1
ewtwy,navigation,72.89153,touchpadRotateStage,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,75.13735,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,76.97054,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,85.33582,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,86.24033,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,navigation,86.51665,touchpadMoveObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,87.45155,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,navigation,87.81699,touchpadMoveObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,89.41714,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,92.4333,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,103.8807,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,107.8501,RotationHandle,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,117.103,triggerOnObject,alwaysOpen,free,touchpads,1
ewtwy,triggerInteraction,118.3455,triggerOnObject,alwaysOpen,free,touchpads,1
