UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
r343754,triggerInteraction,14.09453,triggerOnObject,alwaysOpen,free,touchpads,1
r343754,triggerInteraction,14.93816,RotationHandle,alwaysOpen,free,touchpads,1
r343754,triggerInteraction,33.89767,triggerOnObject,alwaysOpen,free,touchpads,1
r343754,navigation,34.2476,touchpadMoveObject,alwaysOpen,free,touchpads,1
r343754,triggerInteraction,34.95694,stage,alwaysOpen,free,touchpads,1
r343754,triggerInteraction,35.66835,RotationHandle,alwaysOpen,free,touchpads,1
r343754,triggerInteraction,48.71157,triggerOnObject,alwaysOpen,free,touchpads,1
r343754,navigation,49.64818,touchpadRotateStage,alwaysOpen,free,touchpads,1
r343754,triggerInteraction,50.19363,triggerOnObject,alwaysOpen,free,touchpads,1
r343754,navigation,51.02539,touchpadRotateStage,alwaysOpen,free,touchpads,1
r343754,triggerInteraction,51.66332,RotationHandle,alwaysOpen,free,touchpads,1
