UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
rewyr,triggerInteraction,13.76426,triggerOnObject,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,17.65437,RotationHandle,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,40.74475,RotationHandle,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,44.63285,triggerOnObject,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,45.82719,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,47.91248,RotationHandle,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,51.74754,triggerOnObject,alwaysOpen,free,touchpads,1
rewyr,navigation,52.10283,touchpadMoveObject,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,53.31569,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,54.86581,triggerNoTarget,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,56.09192,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,58.38577,RotationHandle,alwaysOpen,free,touchpads,1
rewyr,navigation,59.96363,touchpadRotateStage,alwaysOpen,free,touchpads,1
rewyr,navigation,60.33902,touchpadRotateStage,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,61.09145,RotationHandle,alwaysOpen,free,touchpads,1
rewyr,navigation,63.78024,touchpadRotateStage,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,64.45417,triggerOnObject,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,65.3962,triggerOnObject,alwaysOpen,free,touchpads,1
rewyr,navigation,66.45202,touchpadScaleStage,alwaysOpen,free,touchpads,1
rewyr,navigation,67.96867,touchpadRotateStage,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,68.66903,RotationHandle,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,91.73986,RotationHandle,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,94.9855,triggerOnObject,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,96.53861,triggerOnObject,alwaysOpen,free,touchpads,1
rewyr,navigation,96.91415,touchpadMoveObject,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,98.44878,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,99.41432,triggerNoTarget,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,99.98502,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
rewyr,navigation,100.9842,touchpadRotateStage,alwaysOpen,free,touchpads,1
rewyr,navigation,101.2545,touchpadRotateStage,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,101.8981,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
rewyr,navigation,103.3184,touchpadRotateStage,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,103.8808,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
rewyr,navigation,105.4794,touchpadRotateStage,alwaysOpen,free,touchpads,1
rewyr,triggerInteraction,106.4061,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
