UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
rteti,triggerInteraction,10.12522,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,11.21159,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,navigation,11.63817,touchpadMoveObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,14.46443,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,18.19615,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,navigation,21.28209,touchpadRotateStage,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,22.13135,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,23.89273,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,navigation,24.97993,touchpadMoveObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,26.0115,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,26.80662,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,27.50004,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,navigation,28.9317,touchpadMoveObject,alwaysOpen,free,touchpads,1
rteti,navigation,29.87402,touchpadRotateStage,alwaysOpen,free,touchpads,1
rteti,navigation,30.22518,touchpadRotateStage,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,31.01025,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,32.7718,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,navigation,33.34093,touchpadMoveObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,36.86613,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,navigation,40.29559,touchpadRotateStage,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,41.20013,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,44.78663,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,navigation,45.19574,touchpadMoveObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,46.58336,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,navigation,46.9073,touchpadMoveObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,48.10397,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,49.14785,stage,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,50.08797,stage,alwaysOpen,free,touchpads,1
rteti,navigation,50.49754,touchpadMoveObject,alwaysOpen,free,touchpads,1
rteti,triggerInteraction,51.1155,triggerOnObject,alwaysOpen,free,touchpads,1
rteti,navigation,51.66917,touchpadMoveObject,alwaysOpen,free,touchpads,1
rteti,navigation,51.99955,touchpadMoveObject,alwaysOpen,free,touchpads,1
