UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
tqety,triggerInteraction,7.79729,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,8.418716,triggerNoTarget,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,9.214758,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,10.88863,stage,alwaysOpen,free,touchpads,1
tqety,navigation,12.04982,touchpadMoveObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,13.01013,RotationHandle,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,15.12314,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,17.58956,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,19.70877,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,23.40059,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,navigation,25.28091,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,navigation,25.75634,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,26.34165,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,29.1258,RotationHandle,alwaysOpen,free,touchpads,1
tqety,navigation,29.76665,touchpadScaleStage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,30.74992,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,navigation,30.83854,touchpadMoveObject,alwaysOpen,free,touchpads,1
tqety,navigation,31.75737,touchpadScaleStage,alwaysOpen,free,touchpads,1
tqety,navigation,32.11016,touchpadScaleStage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,32.60551,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,navigation,32.88068,touchpadMoveObject,alwaysOpen,free,touchpads,1
tqety,navigation,33.22034,touchpadMoveObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,33.8323,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,navigation,34.11697,touchpadMoveObject,alwaysOpen,free,touchpads,1
tqety,navigation,34.88427,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,35.76762,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,36.71191,stage,alwaysOpen,free,touchpads,1
tqety,navigation,37.07665,touchpadMoveObject,alwaysOpen,free,touchpads,1
tqety,navigation,37.40805,touchpadMoveObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,38.12662,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,39.25546,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,navigation,39.60593,touchpadScaleStage,alwaysOpen,free,touchpads,1
tqety,navigation,40.99262,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,navigation,41.31667,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,41.95213,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,navigation,43.29311,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,43.94687,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,navigation,44.56104,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,navigation,44.8486,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,navigation,45.13626,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,navigation,45.44619,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,46.31067,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,navigation,46.61114,touchpadMoveObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,47.80181,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,49.09448,RotationHandle,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,51.16024,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,navigation,53.7998,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,54.38548,stage,alwaysOpen,free,touchpads,1
tqety,navigation,54.68381,touchpadMoveObject,alwaysOpen,free,touchpads,1
tqety,navigation,55.04806,touchpadMoveObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,57.32314,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,57.93879,stage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,58.57731,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,61.06112,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,64.29399,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,navigation,67.1228,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,navigation,67.81917,touchpadScaleStage,alwaysOpen,free,touchpads,1
tqety,navigation,68.56059,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,70.15349,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,navigation,72.46142,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,navigation,73.01404,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,73.89882,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,76.12354,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,78.21172,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,navigation,78.51048,touchpadRotateStage,alwaysOpen,free,touchpads,1
tqety,navigation,79.2739,touchpadScaleStage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,80.25902,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,81.96415,stage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,82.39266,stage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,84.1497,triggerOnObject,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,84.91753,stage,alwaysOpen,free,touchpads,1
tqety,triggerInteraction,85.81396,triggerOnObject,alwaysOpen,free,touchpads,1
