UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
truryyo,triggerInteraction,11.69772,triggerOnObject,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,12.94025,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,15.50462,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,navigation,18.78175,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,navigation,19.10448,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,20.01057,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,navigation,21.18941,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,navigation,21.60991,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,navigation,21.91978,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,22.66079,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,navigation,24.00959,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,navigation,24.35506,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,navigation,24.64235,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,25.16145,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,30.83527,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,navigation,34.98653,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,navigation,35.67567,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,39.13097,triggerOnObject,alwaysOpen,free,touchpads,1
truryyo,navigation,39.42911,touchpadMoveObject,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,40.73311,stage,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,41.72616,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,45.42112,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,navigation,47.17355,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,52.34104,triggerOnObject,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,53.45744,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,navigation,56.0788,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,navigation,56.49398,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,navigation,56.8404,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,navigation,57.18636,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,navigation,57.86867,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,navigation,59.13719,touchpadMoveObject,alwaysOpen,free,touchpads,1
truryyo,navigation,59.91983,touchpadMoveObject,alwaysOpen,free,touchpads,1
truryyo,navigation,60.2691,touchpadMoveObject,alwaysOpen,free,touchpads,1
truryyo,navigation,60.6596,touchpadMoveObject,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,62.69291,stage,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,63.74083,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,68.65179,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,89.95114,triggerOnObject,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,91.69736,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,93.35015,triggerOnObject,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,95.36076,RotationHandle,alwaysOpen,free,touchpads,1
truryyo,navigation,97.04173,touchpadRotateStage,alwaysOpen,free,touchpads,1
truryyo,triggerInteraction,106.518,RotationHandle,alwaysOpen,free,touchpads,1
