UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
w64,triggerInteraction,7.979063,triggerNoTarget,alwaysOpen,free,touchpads,1
w64,triggerInteraction,8.599696,triggerOnObject,alwaysOpen,free,touchpads,1
w64,navigation,9.118187,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,10.43497,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,17.19049,triggerOnObject,alwaysOpen,free,touchpads,1
w64,navigation,17.62093,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,19.97191,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,20.96125,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,24.62959,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,30.50511,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,31.50005,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,36.22553,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,37.28473,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,39.55293,triggerOnObject,alwaysOpen,free,touchpads,1
w64,navigation,41.6646,touchpadRotateStage,alwaysOpen,free,touchpads,1
w64,triggerInteraction,45.13558,triggerOnObject,alwaysOpen,free,touchpads,1
w64,navigation,45.82022,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,navigation,46.13832,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,47.75435,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,49.1663,triggerOnObject,alwaysOpen,free,touchpads,1
w64,navigation,50.8515,touchpadRotateStage,alwaysOpen,free,touchpads,1
w64,triggerInteraction,51.72492,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,54.27584,triggerOnObject,alwaysOpen,free,touchpads,1
w64,navigation,56.30635,touchpadScaleStage,alwaysOpen,free,touchpads,1
w64,navigation,57.41369,touchpadRotateStage,alwaysOpen,free,touchpads,1
w64,navigation,57.79061,touchpadRotateStage,alwaysOpen,free,touchpads,1
w64,navigation,58.78286,touchpadScaleStage,alwaysOpen,free,touchpads,1
w64,navigation,59.23631,touchpadScaleStage,alwaysOpen,free,touchpads,1
w64,triggerInteraction,72.36827,triggerNoTarget,alwaysOpen,free,touchpads,1
w64,triggerInteraction,76.9472,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,79.56088,triggerOnObject,alwaysOpen,free,touchpads,1
w64,navigation,80.00864,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,81.17953,RotationHandle,alwaysOpen,free,touchpads,1
w64,triggerInteraction,83.62738,RotationHandle,alwaysOpen,free,touchpads,1
w64,triggerInteraction,87.99763,RotationHandle,alwaysOpen,free,touchpads,1
w64,navigation,91.51471,touchpadRotateStage,alwaysOpen,free,touchpads,1
w64,navigation,92.26617,touchpadRotateStage,alwaysOpen,free,touchpads,1
w64,navigation,92.65312,touchpadRotateStage,alwaysOpen,free,touchpads,1
w64,navigation,93.55893,touchpadRotateStage,alwaysOpen,free,touchpads,1
w64,triggerInteraction,94.44403,RotationHandle,alwaysOpen,free,touchpads,1
w64,triggerInteraction,96.16676,RotationHandle,alwaysOpen,free,touchpads,1
w64,navigation,100.763,touchpadRotateStage,alwaysOpen,free,touchpads,1
w64,triggerInteraction,101.604,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,102.7259,triggerOnObject,alwaysOpen,free,touchpads,1
w64,navigation,102.9896,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,104.124,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,105.1495,RotationHandle,alwaysOpen,free,touchpads,1
w64,triggerInteraction,110.4938,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,111.5208,stage,alwaysOpen,free,touchpads,1
w64,navigation,111.825,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,navigation,112.1823,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,112.9439,stage,alwaysOpen,free,touchpads,1
w64,navigation,113.3095,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,118.1518,triggerOnObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,121.8132,triggerOnObject,alwaysOpen,free,touchpads,1
w64,navigation,122.2121,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,123.8676,triggerOnObject,alwaysOpen,free,touchpads,1
w64,navigation,124.3011,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,126.089,triggerOnObject,alwaysOpen,free,touchpads,1
w64,navigation,126.4098,touchpadMoveObject,alwaysOpen,free,touchpads,1
w64,triggerInteraction,128.605,triggerNoTarget,alwaysOpen,free,touchpads,1
w64,triggerInteraction,131.6549,triggerOnObject,alwaysOpen,free,touchpads,1
