UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
y7658,triggerInteraction,11.43941,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,navigation,12.23939,touchpadMoveObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,17.50436,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,22.72687,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,navigation,24.88206,touchpadMoveObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,27.86176,RotationHandle,alwaysOpen,free,touchpads,1
y7658,navigation,37.38696,touchpadRotateStage,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,38.22184,RotationHandle,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,42.79019,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,43.87772,stage,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,44.75092,RotationHandle,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,48.94038,RotationHandle,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,52.56918,RotationHandle,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,55.64769,RotationHandle,alwaysOpen,free,touchpads,1
y7658,navigation,59.43051,touchpadScaleStage,alwaysOpen,free,touchpads,1
y7658,navigation,59.61774,touchpadScaleStage,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,60.23827,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,navigation,60.61244,touchpadMoveObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,61.43916,RotationHandle,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,63.53057,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,64.79987,RotationHandle,alwaysOpen,free,touchpads,1
y7658,navigation,66.84449,touchpadRotateStage,alwaysOpen,free,touchpads,1
y7658,navigation,67.18449,touchpadRotateStage,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,67.79344,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,68.53271,RotationHandle,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,70.53529,RotationHandle,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,74.27776,RotationHandle,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,78.24809,RotationHandle,alwaysOpen,free,touchpads,1
y7658,navigation,81.88765,touchpadScaleStage,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,82.78404,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,88.3715,triggerNoTarget,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,89.2452,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,105.2599,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,111.2004,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,117.5675,triggerOnObject,alwaysOpen,free,touchpads,1
y7658,triggerInteraction,121.149,triggerOnObject,alwaysOpen,free,touchpads,1
