UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
yg989,triggerInteraction,9.31098,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,10.02122,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,11.10526,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,12.99846,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,navigation,13.51306,touchpadMoveObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,14.8501,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,navigation,15.23631,touchpadMoveObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,22.84974,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,23.9598,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,26.04329,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,navigation,27.01585,touchpadMoveObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,29.64848,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,30.08035,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,32.38641,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,33.30374,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,39.93724,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,41.06763,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,43.88038,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,navigation,44.31055,touchpadMoveObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,45.86752,stage,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,47.03112,stage,alwaysOpen,free,touchpads,1
yg989,navigation,47.31253,touchpadMoveObject,alwaysOpen,free,touchpads,1
yg989,navigation,47.64863,touchpadMoveObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,48.33127,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,49.73357,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,51.57285,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,navigation,55.36733,touchpadScaleStage,alwaysOpen,free,touchpads,1
yg989,navigation,56.10448,touchpadScaleStage,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,59.89193,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,60.0828,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,60.64915,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,triggerInteraction,61.59576,triggerOnObject,alwaysOpen,free,touchpads,1
yg989,navigation,65.58522,touchpadMoveObject,alwaysOpen,free,touchpads,1
yg989,navigation,66.10079,touchpadMoveObject,alwaysOpen,free,touchpads,1
